artists,songs
Kinfolk Thugs,Dumptruck
Cordelia,Little Life
"¥$, Kanye West, Ty Dolla $ign & Rich The Kid",CARNIVAL (feat. Playboi Carti)
Ariana Grande,"yes, and? (Mixed)"
Bobby Caldwell,What You Won't Do for Love
R.m.y,How I Love Being a Woman 6
Rihanna,Bitch Better Have My Money
"The Weeknd, JENNIE & Lily Rose Depp",One Of The Girls
Gold-Tiger,Funny
Beyoncé,Countdown
Masego & FKJ,Tadow
Lana Del Rey,Every Man Gets His Wish
Peso Pluma & Anitta,BELLAKEO
21 Savage,redrum (Mixed)
Beyoncé,TEXAS HOLD 'EM (PONY UP REMIX)
Beyoncé,Donk
Flo Milli,Never Lose Me (Mixed)
Lana Del Rey,Queen Of Disaster
Muni Long,Made For Me (Mixed)
Lana Del Rey,National Anthem
Lana Del Rey,West Coast
ผดุง ทรงแสง (แจ๊ส),"หลวงพี่แจ๊ส 4G (From ""ภาพยนตร์เรื่องหลวงพี่แจ๊ส 4G"")"
Lilithzplug,CLEARED - Remix
Rihanna,We Found Love (feat. Calvin Harris)
Muni Long,Made For Me (Sped Up Version)
Rihanna,Work (feat. Drake) [R3hab Remix]
Lana Del Rey,Margaret (feat. Bleachers)
Lana Del Rey,Back To The Basics
Rihanna,Pour It Up
Beyoncé,Dangerously in Love 2
Lana Del Rey,Young and Beautiful
Ariana Grande,34+35
Ariana Grande,"yes, and? (sped up)"
